,Location,Room,Layout Code,Sqft,Unit,Estimated Price,PSF,first 5%,second 20%,total 25%,Loan Amount 75%,Total loan amount (75%*102%),"Total loan period 
 (25 years; 
 300 months)",Monthly Mortage Amount,Total CASH +CPF we have now,Loan from parents?,Total Shortfall,How much to save per month in 3 months/ per pax,How much to save per month in 6 months/ per pax,How much to save per month in 9 months/ per pax
10,Treasures,2Br+S,B7S,678,#02-129,891000,1314,44550,178200,222750,668250,681615,300,2272,180000,50000,-7250,-1208,-604,-403
15,Treasures,2Br+S,B7S,678,#09-129,929000,1370,46450,185800,232250,696750,710685,300,2369,180000,50000,2250,375,188,125
11,Treasures,2Br+S,B7S,678,#06-09,965000,1423,48250,193000,241250,723750,738225,300,2461,180000,50000,11250,1875,938,625
13,Treasures,2Br+S,B7S,678,06-180,965000,1423,48250,193000,241250,723750,738225,300,2461,180000,50000,11250,1875,938,625
14,Treasures,2Br+S,B7S,678,#07-148,970000,1431,48500,194000,242500,727500,742050,300,2474,180000,50000,12500,2083,1042,694
12,Treasures,2Br+S,B7S,678,#06-83,975000,1438,48750,195000,243750,731250,745875,300,2486,180000,50000,13750,2292,1146,764
24,Parc Esta,1BR+S,AD1-R,614,#18-67,1012000,1648,50600,202400,253000,759000,774180,300,2581,180000,50000,23000,3833,1917,1278
25,Parc Esta,1BR+S,AD1-R,614,#18-76,1012000,1648,50600,202400,253000,759000,774180,300,2581,180000,50000,23000,3833,1917,1278
16,Treasures,3BR,C5,883,#02-38,1112000,1259,55600,222400,278000,834000,850680,300,2836,180000,50000,48000,8000,4000,2667
17,Treasures,3BR,C6,915,#04-151,1129000,1234,56450,225800,282250,846750,863685,300,2879,180000,50000,52250,8708,4354,2903
8,Antares,2BR,B1D,667,#02-01,1152000,1727,57600,230400,288000,864000,881280,300,2938,180000,50000,58000,9667,4833,3222
19,Treasures,3BR,C6,915,#06-178,1155000,1262,57750,231000,288750,866250,883575,300,2945,180000,50000,58750,9792,4896,3264
9,Antares,2BR,B1D,667,#03-01,1157000,1735,57850,231400,289250,867750,885105,300,2950,180000,50000,59250,9875,4938,3292
3,Antares,2BR,B3,657,#06-22,1196000,1820,59800,239200,299000,897000,914940,300,3050,180000,50000,69000,11500,5750,3833
4,Antares,2BR,B3,657,#08-22,1206000,1836,60300,241200,301500,904500,922590,300,3075,180000,50000,71500,11917,5958,3972
1,Antares,2BR,B1F,689,#02-09,1211000,1758,60550,242200,302750,908250,926415,300,3088,180000,50000,72750,12125,6063,4042
2,Antares,2BR,B1F,689,#03-09,1216000,1765,60800,243200,304000,912000,930240,300,3101,180000,50000,74000,12333,6167,4111
5,Antares,2BR,B3,657,#12-22,1230000,1872,61500,246000,307500,922500,940950,300,3137,180000,50000,77500,12917,6458,4306
18,Treasures,3BR,C6,915,#06-150,1262000,1379,63100,252400,315500,946500,965430,300,3218,180000,50000,85500,14250,7125,4750
26,Parc Esta,2BRP,BP5,743,#10-57,1273000,1713,63650,254600,318250,954750,973845,300,3246,180000,50000,88250,14708,7354,4903
27,Parc Esta,2BRP,BP5,743,#12-71,1281000,1724,64050,256200,320250,960750,979965,300,3267,180000,50000,90250,15042,7521,5014
28,Parc Esta,2BRP,BP5,743,#12-01,1281000,1724,64050,256200,320250,960750,979965,300,3267,180000,50000,90250,15042,7521,5014
20,Treasures,3BRP,C9P,1033,#02-159,1286000,1245,64300,257200,321500,964500,983790,300,3279,180000,50000,91500,15250,7625,5083
6,Antares,2BR,B2,732,#06-17,1291000,1764,64550,258200,322750,968250,987615,300,3292,180000,50000,92750,15458,7729,5153
7,Antares,2BR,B2,732,#08-17,1301000,1777,65050,260200,325250,975750,995265,300,3318,180000,50000,95250,15875,7938,5292
22,Treasures,3BRP,C9P,1033,#06-134,1342000,1299,67100,268400,335500,1006500,1026630,300,3422,180000,50000,105500,17583,8792,5861
21,Treasures,3BRP,C9P,1033,#06-84,1408000,1363,70400,281600,352000,1056000,1077120,300,3590,180000,50000,122000,20333,10167,6778
23,Treasures,3BRP,C9P,1033,#09-88,1418000,1373,70900,283600,354500,1063500,1084770,300,3616,180000,50000,124500,20750,10375,6917
29,Parc Esta,3BR,C3,926,#15-26,1498000,1618,74900,299600,374500,1123500,1145970,300,3820,180000,50000,144500,24083,12042,8028
30,Parc Esta,3BR,C3,926,#17-26,1508000,1629,75400,301600,377000,1131000,1153620,300,3845,180000,50000,147000,24500,12250,8167